# DFF generated LAMMPS data file

1728 atoms
0 bonds
0 angles
0 dihedrals
0 impropers

2  atom types
0  bond types
0  angle types
0  dihedral types
0  improper types

      0.0000      28.8912   xlo xhi
      0.0000      28.8912   ylo yhi
     -0.0000      28.8912   zlo zhi

Masses

           1     40.0780   #   ca0+
           2     15.9994   #   o_

Atoms

         180         180           1     2.00000    21.66840    16.85320    -0.00000	      #     Ca180
         181         181           2     0.00000    21.66840    16.85320     2.40760	      #     O181
         182         182           2     0.00000    21.66840    14.44560    -0.00000	      #     O182
         183         183           2     0.00000    19.26080    16.85320    -0.00000	      #     O183
         184         184           2     0.00000    19.26080    14.44560     2.40760	      #     O184
         185         185           1     2.00000    24.07600    14.44560    -0.00000	      #     Ca185
         186         186           1     2.00000    24.07600    16.85320     2.40760	      #     Ca186
         187         187           1     2.00000    26.48360    14.44560     2.40760	      #     Ca187
         188         188           1     2.00000    26.48360    16.85320    -0.00000	      #     Ca188
         189         189           2     0.00000    26.48360    16.85320     2.40760	      #     O189
         190         190           2     0.00000    26.48360    14.44560    -0.00000	      #     O190
         191         191           2     0.00000    24.07600    16.85320    -0.00000	      #     O191
         192         192           2     0.00000    24.07600    14.44560     2.40760	      #     O192
         193         193           1     2.00000     0.00000    19.26080    -0.00000	      #     Ca193
         194         194           1     2.00000     0.00000    21.66840     2.40760	      #     Ca194
         195         195           1     2.00000     2.40760    19.26080     2.40760	      #     Ca195
         196         196           1     2.00000     2.40760    21.66840    -0.00000	      #     Ca196
         197         197           2     0.00000     2.40760    21.66840     2.40760	      #     O197
         198         198           2     0.00000     2.40760    19.26080    -0.00000	      #     O198
         199         199           2     0.00000     0.00000    21.66840    -0.00000	      #     O199
         200         200           2     0.00000     0.00000    19.26080     2.40760	      #     O200
         201         201           1     2.00000     4.81520    19.26080    -0.00000	      #     Ca201
         202         202           1     2.00000     4.81520    21.66840     2.40760	      #     Ca202
         203         203           1     2.00000     7.22280    19.26080     2.40760	      #     Ca203
         204         204           1     2.00000     7.22280    21.66840    -0.00000	      #     Ca204
         205         205           2     0.00000     7.22280    21.66840     2.40760	      #     O205
         206         206           2     0.00000     7.22280    19.26080    -0.00000	      #     O206
         207         207           2     0.00000     4.81520    21.66840    -0.00000	      #     O207
         208         208           2     0.00000     4.81520    19.26080     2.40760	      #     O208
         209         209           1     2.00000     9.63040    19.26080    -0.00000	      #     Ca209
         210         210           1     2.00000     9.63040    21.66840     2.40760	      #     Ca210
         211         211           1     2.00000    12.03800    19.26080     2.40760	      #     Ca211
         212         212           1     2.00000    12.03800    21.66840    -0.00000	      #     Ca212
         213         213           2     0.00000    12.03800    21.66840     2.40760	      #     O213
         214         214           2     0.00000    12.03800    19.26080    -0.00000	      #     O214
         215         215           2     0.00000     9.63040    21.66840    -0.00000	      #     O215
         216         216           2     0.00000     9.63040    19.26080     2.40760	      #     O216
